boj,rating1,cp,rating2
yehyun,2328,_goto,1814
ktwin01,2327,JaeyunK,1610
rustiebeats,2327,75yabuki,1567
tjqtjq0516,2327,tjqtjq0516,378
joey3020,2325,joey0320,1751
yjyj1027,2325,wease1,2146
quickn,2323,Stygian_Nymph,1901
thrudgelmir,2323,thrudgelmir,1486
ggj06281,2321,c0510gy,1925
oculis,2320,oculis,1530
aeternussm,2319,hhsm,419
dyim0403,2317,dyim0403,1573
mulmuri,2316,mulmuri,1683
yanghj1490,2316,Yanghj1490,544
39dll,2315,39dll,1660
youngjun7,2315,yjun.,1643
singun11,2314,shinkeonkim,1601
ian0704,2313,ian0704,1443
whquddn55,2313,whquddn55,1633
comseung18,2312,comseung18_,1656
skyblue02,2312,skyblue02,1759
spat,2312,jaime_spat,1929
wowoto9772,2312,wowoto9772,1901
opop20207,2311,atomark,1412
4hn6,2310,westfield,1410
jsw1902,2309,Nemona,1507
karasuta,2309,karasuta,1469
redshift,2309,semteo,2166
chongin12,2307,chongin12,1452
jsa3824,2306,jsa3824,1867
lyzqm,2306,lyzpm,1727
tosang,2306,whiteedu84,1556
dong5995,2305,mezavant,1727
kyaryunha_cpp,2305,SHIN_Hyun,1662
spotky1004,2303,spotky1004,818
bennyk0406,2302,bennyk0406,1531
chan4928,2302,Cloge,1808
ckj31110,2302,4luv1015,0
creampuffshu,2302,creampuffshu,1518
haja,2302,0buhaja,2008
jihwan_0319,2302,moonjihwan1,1649
kdhc7777,2302,kdhc7777,1031
messi,2302,LaurenMayberry,2121
choiking10,2301,choiking10,1971
gs11008,2301,gs11008,1796
aj4941,2300,aj4941,1743
inhibitor,2300,inhibitor,1987
maker29,2300,Maker29,1287
urin6695,2300,PolarisSoda,0
geon08,2299,geon08,1471
juchan1220,2299,juchan1220,1894
mymasterpark2,2296,yelwhiltelow,1217
sbrus_1213,2296,sbrus1213,1684
0000000000,2295,StrangePenguin,1288
alex0211,2295,alex0211,1951
myungum,2295,myungum,1445
rlj1202,2295,rlj1202,1495
ksoosung77,2293,ksoosung77,836
riverlike14,2293,riverlike14,536
martinok1103,2292,DetegiCE,1381
smmaker118,2292,Vulcan_SM,1212
cinador,2291,CinaDor,1612
mskim17,2291,mskim17,422
willi19,2291,haminlove,1963
josephwow,2288,tuna_fly,1657
junho0219,2288,rk9120,1533
m4ushold,2288,jms020512,1472
2093ab,2286,2093ab,1604
brcps12,2285,brcps12,1749
kchwoony210,2285,kchwoony210,1408
sedev57,2285,sedev57,2346
jamesoh1201,2280,JaewonOh,1949
joonas,2280,joonas,1374
myHan,2280,myHan,1810
rhtkdwls,2280,rhtkdwls,1597
upple1,2279,KOOMKOOM,1635
kongum,2276,Hoshino_kongum,1612
hwon233,2273,233hwon,1686
shinm0819,2273,shinm0819,409
antifly55,2272,antifly55,1641
yuja,2270,yuja,1619
kkpos0206,2269,kkpos0206,1867
lsn1106,2268,suun,1773
toastifishi,2268,normalusername,1643
exponential_e,2266,Exponential-e,1459
18sht1710,2265,OnlyCplusplus,1644
junhyung9985,2265,junhyung9985,1652
martin0327,2264,martin0327,1846
jinhwanlazy,2263,jinhwanlazy,1549
mj1000j,2262,mj1000j,1754
roeyr,2261,roeyr,1603
malkoring,2260,malkoring,1368
riantkb,2260,riantkb,2621
bbb1293,2259,bbb1293,1918
njw1204,2259,njw1204,1737
pjh9996,2259,ParkJH,1677
bone,2258,qdhqbr,1352
paull04,2258,cr7ro,1713
captain,2257,EunBin,2025
qvixnh22,2257,qvixnh22,1533
seonah,2257,Ichijou_Ruka,1614
woonikim,2256,NamuTree,1711
tjrwodnjs999,2254,tjrwodnjs999,1609
vancomycin,2254,vancomycin,1545
tnsgh9603,2253,tnsgh9603,1415
dh0450,2252,mona04,984
yuiop8747,2251,Lenick,1718
jinsoolve,2250,jinsoolve,0
putdata,2250,putdata,1507
choyj416,2249,choyj416,1642
seokjin1013,2249,seokjin1013,1558
tkfkddl59323,2249,loftol,1642
junhopark,2248,junhopark,2064
wts1597,2248,yupdown,1350
algoshipda,2247,algoshipda,1901
anfidthtn,2247,anfidthtn,1509
enochjung,2247,enochjung,1937
0archlinux0,2246,0archlinux0,1619
osier_star,2246,osierstar,1120
changwook987,2245,changwook987,402
eleclee123,2245,eleclee123,0
110000110101,2244,seoh136199,810
mgin0527,2244,mgin0527,0
munhwas1140,2244,munhwas1140,1549
love94610,2243,AJW,922
nlee14092011,2243,NOAHLEE,1078
rhksdn6227,2243,jjimo,1725
yty2589,2243,gs22055,1628
zxcvber,2243,calofmijuck,1618
buttercrab,2242,jaeyong0201,2162
sjh1224,2242,16777216,1722
caru1229,2241,devzhxpr,0
hello70825,2241,hello70825,1418
qilip,2241,qilip,1589
wizardrabbit,2241,wizardrabbit,1621
gbs16_dohyun,2240,gbs16_dohyun,0
ljaewon97,2240,ljaewon97,1376
sangyoon9,2240,BingHa,1929
dogdriip,2238,Dogdriip,1603
mastershim,2238,mastershim,1221
1207koo,2236,1207koo,2212
manybirds,2236,manybirds,1676
nhk9503,2236,NHRWV,0
ckw1140,2235,ckw1140,2206
hckim96,2234,hckim96,1610
kangkunma,2234,kangkunma,1377
jjkmk1013,2233,kimchijeon,1605
kind2783,2233,kind2783,1452
tlsgusrb314,2233,TOMATO_MAT_TO,1897
platinant,2232,platinant,1993
wrath9764,2232,wrathsinsa,954
altair2713,2231,Altair_Vega,1930
andyjung2104,2231,andyandy,1614
kkomabear1227,2231,Kkomabear,1717
klight1994,2231,klight1994,1684
phg0804,2231,phg0804,2141
rejo,2231,rejo,1407
corncheese,2230,corncheese,1454
kokosoko59,2230,siri_k,1716
rlagusals1102,2230,rlagusals1102,0
mythofys,2229,mythofys,824
andy627,2227,andy627,1980
jotos,2227,Hanabisuri,0
acepark,2225,apark0907,1551
crescent_h,2225,crescent_h,1248
kangsm02,2225,kangsm02,1410
mingyu331,2225,mingyu331,2372
dbgusdn012,2224,MongHwa,1734
emoney96,2224,choboeyo,1369
caritas1996,2223,yooniversal,1272
teddybear1024,2223,ted071024,1588
aig0016,2222,tejava,1610
applied7076,2222,Applied_Aria,1429
pl0892029,2222,pl0892029,1626
scka,2222,scka,1589
existrei01,2221,existrei01,1408
sonamoo,2221,sonamoo,1583
3juhwan,2220,3juhwan,1647
kimhunsu96,2220,SOFTK,1628
newb,2219,Kang_sj,1606
pleiades1,2219,skyincf,1256
silvester71,2219,ASIXER,1760
cko301,2218,shyroute,1601
mani828,2218,mani828,1014
nahwasa,2218,nahwasa,997
syol101,2218,why_wrong,1663
20rnjsekdns,2217,drawcodeboy,0
beans3142,2217,breans3142,900
developerhan,2217,younghanstark,1615
1234567890123,2216,se0nbi,1737
hayman42,2216,hayman42,1715
aiden0912,2215,aiden0912,630
clrmt,2215,clrmt,1981
gkswns3708,2215,samsungbreaker,1432
pom0319,2215,Tim3s,0
rkdgus0410,2215,Ka_ng_Hyeon,1945
soo7652,2215,suhwanc,1625
cprayer,2214,B-E,1940
lsg020302,2214,2sssg,1242
rafle,2214,rafle,1708
sksms1375,2214,S_ong,0
gksrudtn99,2213,jbhus,1786
w8385,2213,w8385,1636
seonh4996,2212,moretall,1465
hyperion1019,2211,hyperion1019.,1624
appleshy3205,2210,shy3205,1626
Picasso,2209,bambbam,1614
seuha516,2209,seuha516,1719
chlwnsgurb,2208,chlwnsgurc,1667
dongwoo338,2208,dongwoo338,1389
onsbtyd,2208,rootachieve,1701
dbrua1222,2207,RyuZU,1676
henryx,2206,henryx,2253
nukec,2206,nukeC,1215
planetarynebula,2206,comet,1733
asdfguest,2205,dlckswns,1525
movie_jo,2204,movie_jo,1926
panda959595,2204,pinder,1647
per_ardua_ad_astra,2204,fjtldkduwk,1464
youngyangze,2204,youngyangze,0
james_lee,2203,Kebin01,1612
littlesam95,2203,littlesam95,950
povwhm,2203,mindol,2026
pwj6800,2203,ikjeong,1652
kinssang,2202,kinssang,1926
mnx,2202,mnxcv,1851
wjh5597486,2202,wjh5597486,0
amok,2201,waterside,2005
goodpjw2008,2201,goodpjw2008,1224
minkim3987,2201,str0ct,2105
songuno1,2201,songuno1,1256
